"Vtrue","Rtrue","time"
-1.03519211127732,0.982060498845996,0
1.10280420828338,1.0969300665272,0.8
2.13069326040586,0.59000146194181,1.6
1.80146468256514,0.16406703279077,2.4
1.70330581505014,-0.271748340238979,3.2
1.25887162332847,-0.597593342545602,4
1.05865023526961,-0.879775734095027,4.8
0.13091508576811,-0.941862288946222,5.6
-1.94563412138485,-0.568900709862748,6.4
-1.83843490346794,0.124953048086681,7.2
-1.45090180926539,0.491953100190571,8
-1.12473414495302,0.907954513202536,8.8
0.0517785386608149,1.08572919454171,9.6
2.00848486550515,0.609116715261459,10.4
1.83330985306914,0.241899424631466,11.2
1.56171180636623,-0.224322550515276,12
1.4060284100825,-0.467275331486095,12.8
1.07961098345588,-0.748978693716076,13.6
0.410149611143123,-0.941974276270316,14.4
-1.83032958439423,-0.650239988175896,15.2
-1.73004343057802,-0.0287376386055508,16
-1.551970654972,0.355623174041968,16.8
-1.26081402638002,0.830884902525828,17.6
-0.43160351529705,1.03715787297284,18.4
2.06944085473728,0.77193271390446,19.2
1.82237825803526,0.272174730837044,20
